Clip,Escena,Duracion_s,Plano,Recurso,Emocion,Prompt_Imagen_Final,Prompt_Video_Final,Prompt_Negativo
11,3,8,plano general,reconstrucción,caos,"Gran Muralla China, antigua China imperial historica. Dos ejércitos de la antigua China chocando en una llanura, lanzas y estandartes, polvo, cielo plomizo, ultrarrealista, dramático. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Travelling lateral a través del choque de ejércitos, polvo y movimiento, dinámico y cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
12,3,8,texto en pantalla,animación,intriga,"Gran Muralla China, antigua China imperial historica. Caracteres chinos antiguos y el texto ""Período de los Reinos Combatientes"" en tipografía elegante sobre fondo de pergamino oscuro, cinematográfico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. El texto aparece con un sutil destello dorado mientras el fondo de pergamino se desplaza lentamente, elegante. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
13,4,8,plano general,mapa / animación,contexto,"Gran Muralla China, antigua China imperial historica. Mapa de los siete reinos con emblemas distintos, líneas de alianza que se forman y se rompen, sepia y dorado, cinematográfico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Líneas de alianza aparecen y se quiebran sobre el mapa, fronteras temblando, movimiento sutil de cámara, elegante. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
14,4,8,primer plano,reconstrucción,traición,"Gran Muralla China, antigua China imperial historica. Dos señores de la guerra chinos estrechando manos con miradas desconfiadas, una daga oculta tras la espalda, luz de antorcha, ultrarrealista. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Lento push-in al rostro receloso de uno de los señores mientras su mano busca la daga, tensión, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
15,4,8,plano general,reconstrucción,amenaza,"Gran Muralla China, antigua China imperial historica. Horizonte de estepa helada y gris al norte, una línea de jinetes apenas visible en la lejanía, viento y nieve, ultrarrealista, sombrío. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Plano general chino estático; la línea de jinetes crece lentamente en el horizonte entre la nieve, presagio, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
16,4,8,detalle,reconstrucción,frío / dureza,"Gran Muralla China, antigua China imperial historica. Detalle de cascos de caballo y nieve removida, vapor del aliento de los animales, luz fría del amanecer, ultrarrealista. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Cámara baja siguiendo cascos que pisan nieve, vaho helado, ritmo creciente, realista y cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
17,5,8,travelling lateral,reconstrucción,amenaza,"Gran Muralla China, antigua China imperial historica. Jinetes nómadas al galope levantando polvo en la estepa, arcos tensados, horizonte interminable, luz fría, ultrarrealista, dinámico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Travelling lateral siguiendo a los jinetes a toda velocidad, polvo levantándose, energía y peligro, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
18,5,8,primer plano,reconstrucción,tensión,"Gran Muralla China, antigua China imperial historica. Arquero nómada a caballo girando el torso para disparar hacia atrás, flecha lista, rostro decidido, ultrarrealista. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Cámara lenta del arquero soltando la flecha al galope, polvo y crin al viento, impactante, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
19,5,8,plano general,reconstrucción,caída,"Gran Muralla China, antigua China imperial historica. Aldea agrícola china en llamas al anochecer, humo negro, animales dispersos, atmósfera de saqueo, ultrarrealista, dramático. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Plano general chino de la aldea ardiendo mientras siluetas de jinetes se alejan al horizonte, humo ondeando, sombrío y cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
20,5,8,contrapicado,reconstrucción,determinación,"Gran Muralla China, antigua China imperial historica. Primeros muros de tierra elevándose contra el cielo del atardecer, obreros en la base, ultrarrealista, esperanzador y solemne. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Contrapicado con leve grúa ascendente revelando la altura del muro de tierra, luz dorada, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
21,6,8,plano general,reconstrucción,amenaza,"Gran Muralla China, antigua China imperial historica. Enorme campamento nómada Xiongnu de tiendas de fieltro en la estepa, miles de caballos, hogueras, atardecer, ultrarrealista, épico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Vuelo de dron sobre el vasto campamento Xiongnu, humo de hogueras y caballos moviéndose, escala imponente, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
22,6,8,contrapicado,reconstrucción,poder,"Gran Muralla China, antigua China imperial historica. Caudillo Xiongnu a caballo con tocado de pieles, mirada fiera, guerreros detrás, luz dramática, ultrarrealista. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Contrapicado del caudillo alzando su arco mientras su ejército chino imperial se extiende detrás, banderas y polvo, imponente, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
23,6,8,vista aérea,mapa / animación,contención,"Gran Muralla China, antigua China imperial historica. Mapa mostrando la franja fronteriza norte y una línea de muro formándose como barrera frente a la inmensidad de la estepa, cinematográfico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Una línea de muro se dibuja sobre el mapa conteniendo flechas-amenaza que vienen del norte, elegante y claro. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
24,7,8,detalle,detalle arqueológico,comprensión,"Gran Muralla China, antigua China imperial historica. Encofrado de madera con tierra húmeda dentro, en pleno proceso de apisonado, manos de obreros, polvo, realismo histórico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Primer plano de pisones golpeando la tierra entre las tablas, polvo saltando con cada golpe, ritmo de trabajo, realista. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
