clip,inicio,fin,tipo,elara_id,estado,bloque,narracion,prompt
11,01:21,01:29,Imagen,,HECHO,B3 Murallas,"mira Babilonia como era en realidad: viva, dorada, deslumbrante. Una ciudad tan grande que los viajeros que llegaban tras semanas","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. murallas de Babilonia inmensas de ladrillo, con torres almenadas cada pocos pasos, escala monumental frente a personas diminutas. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
12,01:29,01:36,Video,,HECHO,B3 Murallas,de desierto creían estar viendo una ilusión. Porque Babilonia no era solo una ciudad. Era una declaración lanzada al,"Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. dos carros tirados por caballos circulando en paralelo sobre la anchura de la muralla sin rozarse, vista elevada, ritmo majestuoso. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle."
13,01:36,01:44,Imagen,,HECHO,B3 Murallas,"cielo. Sus murallas eran tan anchas que, según contaban, dos carros de guerra podían cruzarse en paralelo sobre ellas sin","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. hilera interminable de torres de vigilancia babilónicas sobre la muralla al atardecer dorado. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
14,01:44,01:52,Imagen,,HECHO,B3 Murallas,"rozarse. Se extendían por kilómetros, reforzadas con torres cada pocos pasos, como los dientes de un animal de arcilla","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. un rollo o tablilla con caracteres griegos antiguos junto a un busto de estilo griego, evocando al historiador Heródoto describiendo la ciudad. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
15,01:52,02:00,Video,,HECHO,B3 Murallas,y betún que se negaba a abrirse ante ningún enemigo. El historiador griego Heródoto las describiría con una mezcla de,"Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. cámara ascendente en grúa que revela la escala colosal de las murallas y, tras ellas, la ciudad viva y dorada extendiéndose. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle."
16,02:00,02:08,Imagen,,HECHO,B4 Ishtar,"admiración y estupor que todavía se percibe al leerlo, siglos después. Y en el corazón de esas murallas había","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. la monumental Puerta de Ishtar cubierta de azulejos azul lapislázuli con relieves dorados de dragones y toros, deslumbrante bajo el sol. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
17,02:08,02:16,Imagen,,HECHO,B4 Ishtar,una entrada que dejaba a cualquiera sin aliento: la Puerta de Ishtar. Imagínala. Un arco monumental cubierto por completo de,"Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. primer plano de un dragón-serpiente mushhushshu en relieve dorado sobre azulejo azul lapislázuli, textura vidriada brillante. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
18,02:16,02:23,Imagen,,HECHO,B4 Ishtar,"azulejos vidriados de un azul intenso, el azul del lapislázuli, la piedra más preciada del mundo antiguo. Y sobre","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. primer plano de un toro en relieve sobre azulejo azul, líneas de oro nítidas. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
19,02:23,02:31,Video,,HECHO,B4 Ishtar,"ese azul, en oro y en relieve, filas y filas de dragones, toros y leones que parecían caminar hacia ti.","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. dolly-in lento cruzando el umbral de la Puerta de Ishtar, los relieves de animales pasando a ambos lados como si caminaran hacia el espectador. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle."
20,02:31,02:37,Elara,E2,HECHO,B4 Ishtar,"Cuando cruzabas esa puerta, no entrabas a una ciudad cualquiera. Entrabas al ombligo del mundo.","ELARA (subir imagen base `elara-avatar-referencia.jpg` como Ingredient; vestuario Babilonia: blusa crema, chaqueta rosa palo, pañuelo azul lapislázuli, zapatos de tacón de aguja de punta fina color nude). Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. Elara cruzando bajo la Puerta de Ishtar, roza el azulejo azul y presenta la ciudad. Ver prompt de video rico y su línea hablada en `babilonia-elara-clips-flow.md`. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle."
21,02:37,02:45,Imagen,,HECHO,B5 Via,"Detrás de la puerta se abría la Vía Procesional, una avenida ceremonial pavimentada con losas de piedra y flanqueada por","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. la Vía Procesional, amplia avenida pavimentada de piedra, flanqueada por muros con leones de azulejo azul y dorado. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
22,02:45,02:53,Imagen,,HECHO,B5 Via,muros donde decenas de leones de azulejo te acompañaban en tu camino. Por aquí desfilaban los dioses en sus fiestas.,"Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. primer plano de un león caminante en relieve de azulejo, melena dorada sobre fondo azul lapislázuli. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
23,02:53,03:01,Video,,HECHO,B5 Via,"Por aquí caminaban los reyes. Y al fondo de todo, dominando el cielo, se alzaba el Etemenanki: el gran","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. travelling frontal avanzando por la Vía Procesional entre las filas de leones, gente con túnicas apartándose, estandartes ceremoniales meciéndose. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle."
24,03:01,03:09,Imagen,,HECHO,B5 Via,"zigurat de Babilonia. Una torre escalonada de siete pisos que se elevaba hacia las nubes, y cuyo nombre significaba ""la","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. vista de la Vía Procesional que conduce la mirada hasta el gran zigurat al fondo. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
25,03:09,03:17,Imagen,,HECHO,B6 Zigurat,"casa que es el fundamento del cielo y la tierra"". Es esta estructura la que la tradición recogería después como","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. el gran zigurat Etemenanki de siete pisos escalonados elevándose hacia el cielo, escaleras monumentales, templo en la cima. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
26,03:17,03:25,Video,,HECHO,B6 Zigurat,"la mítica Torre de Babel. Para los babilonios, ese zigurat no era solo un templo. Era el eje del universo,","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. órbita aérea lenta alrededor del zigurat colosal, revelando sus siete terrazas y la ciudad extendida a sus pies. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle."
27,03:25,03:32,Imagen,,HECHO,B6 Zigurat,"el punto donde el cielo y la tierra se tocaban. En sus terrazas, generación tras generación, los sacerdotes miraban","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. peregrinos con túnicas subiendo la gran escalinata del zigurat, escala diminuta frente al monumento. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
28,03:32,03:40,Imagen,,HECHO,B6 Zigurat,el firmamento y anotaban en tablillas de arcilla el movimiento de los planetas y las estrellas. Y aquí viene algo,"Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. pintura conceptual del zigurat evocando la Torre de Babel entre nubes bajas, atmósfera mítica. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
29,03:40,03:48,Imagen,,HECHO,B7 Astronomos,"que casi nadie te contó en la escuela: la astronomía científica no nació en Grecia. Nació aquí, en las azoteas","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. sacerdotes astrónomos babilónicos de noche en la terraza alta del zigurat observando el cielo estrellado, tablillas de arcilla en las manos. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
30,03:48,03:56,Video,,HECHO,B7 Astronomos,"de barro cocido de Babilonia, siglos antes. Aquellos sacerdotes desarrollaron tablas matemáticas tan precisas que los científicos modernos tardaron décadas","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. plano medio de un sacerdote grabando con un punzón símbolos cuneiformes en una tablilla de arcilla húmeda mientras señala una estrella, luz de lámpara de aceite. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle."
31,03:56,04:04,Imagen,,HECHO,B7 Astronomos,"en descifrar su lógica. Y a los pies del gran zigurat estaba el Esagila, el templo de Marduc, el","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. tablilla de arcilla cubierta de escritura cuneiforme y diagramas de posiciones planetarias, iluminada por una lámpara. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
32,04:04,04:12,Imagen,,HECHO,B7 Astronomos,"dios supremo de la ciudad. Dentro guardaban una estatua del dios recubierta de oro, el objeto más sagrado del universo","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. cielo nocturno mesopotámico con constelaciones marcadas sobre la silueta del zigurat. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
33,04:12,04:20,Imagen,,HECHO,B8 Esagila,"conocido. Porque en Babilonia, la política y la religión eran la misma cosa. Nadie era rey de verdad hasta que,","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. interior del templo Esagila, columnas y muros decorados, penumbra dorada, humo de incienso. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
34,04:20,04:28,Imagen,,HECHO,B8 Esagila,"cada Año Nuevo, tomaba con su mano la mano de la estatua de Marduc en una ceremonia llamada Akitu. Ese","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. estatua del dios Marduc recubierta de oro en el santuario, resplandor cálido de lámparas, aire solemne. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
35,04:28,04:36,Video,,HECHO,B8 Esagila,"gesto, tomar la mano del dios, renovaba su derecho a gobernar. Sin ese gesto, no eras rey. Eras un","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. ceremonia del Año Nuevo Akitu: un rey babilonio con manto ceremonial extiende su mano y toca la mano de la estatua dorada de Marduc, sacerdotes alrededor, incienso, ritmo solemne. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle."
36,04:36,04:44,Imagen,,HECHO,B8 Esagila,"usurpador. Recuerda esto, porque va a ser importante esta noche. Y luego estaban los jardines. Los famosos Jardines Colgantes, una","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. primer plano de dos manos casi tocándose, la humana y la dorada de la estatua, simbolismo del pacto. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
37,04:44,04:52,Imagen,,HECHO,B9 Jardines,"de las siete maravillas del mundo antiguo: terrazas elevadas cubiertas de árboles y flores, regadas por un sistema de máquinas","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. los Jardines Colgantes: terrazas escalonadas rebosantes de árboles, palmeras y flores suspendidas sobre la ciudad seca. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
38,04:52,05:00,Video,,HECHO,B9 Jardines,"que subían el agua desde el río, un vergel suspendido en el aire en mitad de una llanura seca. Durante","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. travelling ascendente por las terrazas verdes de los jardines colgantes, agua cayendo entre niveles, hojas meciéndose con la brisa. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle."
39,05:00,05:07,Imagen,,HECHO,B9 Jardines,"siglos se debatió si de verdad existieron o si eran solo una leyenda. Investigaciones recientes, como las de la","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. máquina de riego antigua con cangilones subiendo agua desde el río hacia las terrazas de los jardines. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
