Orden,Tipo,N_tipo,Bloque,Movimiento,Prompt_Final,Prompt_Negativo,Narracion
11,IMG,7,N3,paneo,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. ilustración cinematográfica de Pompeya vibrante y llena de color frente a las ruinas grises (contraste mitad y mitad). Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Para entender la magnitud de lo que se perdió, primero hay que ver lo que existía… viaja conmigo al año 79 d.C."
12,IMG,8,N3,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. amanecer cálido de finales de verano sobre los tejados de Pompeya. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Para entender la magnitud de lo que se perdió, primero hay que ver lo que existía… viaja conmigo al año 79 d.C."
13,IMG,9,N3,zoom-out,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. bahía de Nápoles con barcos romanos y la ciudad en la colina. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Para entender la magnitud de lo que se perdió, primero hay que ver lo que existía… viaja conmigo al año 79 d.C."
14,CLIP,5,N3,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. transición cinematográfica de ruinas grises que cobran color y vida (morphing), la ciudad reviviendo. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Para entender la magnitud de lo que se perdió, primero hay que ver lo que existía… viaja conmigo al año 79 d.C."
15,CLIP,6,N3,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. vuelo de dron entrando hacia la ciudad viva desde el mar, revelando calles y templos. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Para entender la magnitud de lo que se perdió, primero hay que ver lo que existía… viaja conmigo al año 79 d.C."
16,IMG,10,N4,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. vista del foro de Pompeya con templos y columnas de mármol, multitud diminuta. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Pompeya no era un pueblo cualquiera. Era una próspera ciudad romana de unos veinte mil habitantes
17,IMG,11,N4,paneo,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. mapa estilizado de la bahía de Nápoles señalando Pompeya, Herculano y el Vesubio. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Pompeya no era un pueblo cualquiera. Era una próspera ciudad romana de unos veinte mil habitantes
18,IMG,12,N4,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. monedas romanas, ánforas de vino y mercancías sobre un mostrador. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Pompeya no era un pueblo cualquiera. Era una próspera ciudad romana de unos veinte mil habitantes
19,CLIP,7,N4,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. vuelo de dron sobre la ciudad próspera revelando foro, anfiteatro y puerto, vida por todas partes. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Pompeya no era un pueblo cualquiera. Era una próspera ciudad romana de unos veinte mil habitantes
20,CLIP,8,N4,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. travelling por un mercado bullicioso lleno de comerciantes, telas y ánforas. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Pompeya no era un pueblo cualquiera. Era una próspera ciudad romana de unos veinte mil habitantes
21,IMG,13,N5,paneo,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. calle empedrada con surcos de ruedas marcados y pasos de piedra elevados. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Sus calles empedradas estaban surcadas por las rodadas de miles de carros… fuentes públicas en cada esquina
22,IMG,14,N5,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. fuente pública de piedra en una esquina, con relieve desgastado. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Sus calles empedradas estaban surcadas por las rodadas de miles de carros… fuentes públicas en cada esquina
23,IMG,15,N5,zoom-out,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. vecinos llenando jarras de agua y conversando junto a la fuente. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Sus calles empedradas estaban surcadas por las rodadas de miles de carros… fuentes públicas en cada esquina
24,CLIP,9,N5,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. travelling lateral siguiendo un carro tirado por caballos por la calle empedrada. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Sus calles empedradas estaban surcadas por las rodadas de miles de carros… fuentes públicas en cada esquina
25,CLIP,10,N5,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. plano de vecinos charlando junto a la fuente, vida cotidiana, luz de mañana. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Sus calles empedradas estaban surcadas por las rodadas de miles de carros… fuentes públicas en cada esquina
26,IMG,16,N6,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. interior de panadería romana con hornos de piedra y panes redondos. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",La ciudad olía a pan recién hecho… 81 panes carbonizados… garum
27,IMG,17,N6,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. detalle de los 81 panes redondos marcados en porciones (como los hallados). Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",La ciudad olía a pan recién hecho… 81 panes carbonizados… garum
28,IMG,18,N6,paneo,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. ánforas de garum apiladas en un almacén. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",La ciudad olía a pan recién hecho… 81 panes carbonizados… garum
29,CLIP,11,N6,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. primer plano del panadero metiendo pan en el horno, polvo de harina flotando, cálido. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",La ciudad olía a pan recién hecho… 81 panes carbonizados… garum
30,CLIP,12,N6,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. travelling por un taller de garum con ánforas y trabajadores, ambiente laboral. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",La ciudad olía a pan recién hecho… 81 panes carbonizados… garum
31,IMG,19,N7,paneo,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. taberna romana con mostrador y jarras de vino, clientes. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Había tabernas en cada esquina… baños públicos… anfiteatro… las paredes cubiertas de pintadas
32,IMG,20,N7,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. pared con grafitis romanos (anuncios, dibujos) pintados en rojo. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Había tabernas en cada esquina… baños públicos… anfiteatro… las paredes cubiertas de pintadas
33,IMG,21,N7,zoom-out,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. gran anfiteatro de Pompeya visto desde las gradas. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Había tabernas en cada esquina… baños públicos… anfiteatro… las paredes cubiertas de pintadas
34,CLIP,13,N7,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. travelling por las termas entre el vapor, columnas y bañistas relajados. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Había tabernas en cada esquina… baños públicos… anfiteatro… las paredes cubiertas de pintadas
35,CLIP,14,N7,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. plano del anfiteatro con la multitud rugiendo durante un combate, energía. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Había tabernas en cada esquina… baños públicos… anfiteatro… las paredes cubiertas de pintadas
36,IMG,22,N8,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. mostrador de thermopolium con vasijas empotradas (dolia) y guisos. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","En esas calles funcionaban los thermopolia, el equivalente romano a la comida rápida"
37,IMG,23,N8,paneo,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. cliente romano comiendo de pie junto al mostrador. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","En esas calles funcionaban los thermopolia, el equivalente romano a la comida rápida"
38,IMG,24,N8,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. monedas dejadas sobre el mostrador de piedra. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","En esas calles funcionaban los thermopolia, el equivalente romano a la comida rápida"
39,CLIP,15,N8,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. plano del thermopolium con gente comiendo de pie y charlando, vida callejera. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","En esas calles funcionaban los thermopolia, el equivalente romano a la comida rápida"
40,CLIP,16,N8,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. macro de las manos sirviendo un guiso caliente desde la vasija empotrada. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","En esas calles funcionaban los thermopolia, el equivalente romano a la comida rápida"
41,IMG,25,N9,paneo,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. jardín interior (peristilo) de una villa con fuente y columnas. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Y dentro de las villas de los más ricos se escondían tesoros: jardines, mosaicos, frescos vivos"
42,IMG,26,N9,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. suelo de mosaico romano detallado (perro, geometrías). Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Y dentro de las villas de los más ricos se escondían tesoros: jardines, mosaicos, frescos vivos"
43,IMG,27,N9,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. fresco de rojos pompeyanos intensos con figuras mitológicas. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Y dentro de las villas de los más ricos se escondían tesoros: jardines, mosaicos, frescos vivos"
44,CLIP,17,N9,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. travelling por el interior lujoso de una villa, frescos vivos en las paredes. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Y dentro de las villas de los más ricos se escondían tesoros: jardines, mosaicos, frescos vivos"
